,City,Country,Date,Lat,Lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Ust'-Omchug,RU,1584498446,61.15,149.63,7.34,82,100,5.93
1,Faya,SA,1584498446,18.39,42.45,61.66,87,40,9.17
2,Shaoguan,CN,1584498446,24.8,113.58,64.62,86,100,2.84
3,Saint-Philippe,RE,1584498358,-21.36,55.77,71.06,88,90,5.82
4,Ust-Maya,RU,1584498447,60.42,134.53,15.89,87,100,3.06
5,Mar del Plata,AR,1584498166,-38.0,-57.56,64.74,93,100,4.7
6,Mataura,NZ,1584498355,-46.19,168.86,60.01,64,42,5.99
7,Linhares,BR,1584498447,-19.39,-40.07,72.99,95,83,2.75
8,East London,ZA,1584498384,-33.02,27.91,69.21,76,0,4.52
9,Arraial do Cabo,BR,1584498152,-22.97,-42.03,71.6,100,75,9.22
10,Rikitea,PF,1584498357,-23.12,-134.97,80.69,80,63,9.89
11,Khilok,RU,1584498447,51.37,110.47,21.27,72,100,13.87
12,Hermanus,ZA,1584498365,-34.42,19.23,65.5,92,30,3.42
13,Saint Paul Harbor,US,1584498364,57.79,-152.41,42.8,75,90,6.93
14,Kahului,US,1584498101,20.89,-156.47,68.94,94,75,9.17
15,Vaini,TO,1584498360,-21.2,-175.2,80.6,78,75,9.17
16,Talcahuano,CL,1584498448,-36.72,-73.12,60.8,82,0,9.17
17,Husavik,IS,1584498367,66.04,-17.34,32.0,95,90,32.21
18,Port Blair,IN,1584498309,11.67,92.75,82.4,68,100,8.34
19,Bluff,NZ,1584498356,-46.6,168.33,60.01,64,83,5.99
20,Warmbad,NA,1584498448,-28.45,18.73,66.47,33,0,2.82
21,Puerto Madero,MX,1584498448,14.72,-92.42,84.2,70,40,4.07
22,Inhambane,MZ,1584498448,-23.86,35.38,73.49,73,21,13.44
23,Bengkulu,ID,1584498369,-3.8,102.27,88.72,56,47,2.08
24,Naze,JP,1584498379,28.37,129.48,66.2,63,75,6.93
25,Qaanaaq,GL,1584498378,77.48,-69.36,-19.48,57,92,7.72
26,Kaitangata,NZ,1584498365,-46.28,169.85,51.73,72,28,8.34
27,Dikson,RU,1584498360,73.51,80.55,-8.81,100,100,5.32
28,Esperance,AU,1584498355,-33.87,121.9,69.8,40,40,26.4
29,Chokurdakh,RU,1584498156,70.63,147.92,-14.28,91,91,12.5
30,Port Alfred,ZA,1584498358,-33.59,26.89,64.0,94,0,4.0
31,Yellowknife,CA,1584498358,62.46,-114.35,-5.13,64,75,5.82
32,Zhezkazgan,KZ,1584498563,47.8,67.71,26.6,92,90,2.24
33,Bredasdorp,ZA,1584498154,-34.53,20.04,66.2,72,0,5.82
34,Gayéri,BF,1584498564,12.65,0.49,79.29,11,0,4.76
35,Yerbogachën,RU,1584498366,61.28,108.01,2.57,85,0,4.74
36,Nome,US,1584498564,64.5,-165.41,31.05,92,90,6.93
37,Khatanga,RU,1584498384,71.97,102.5,-12.17,85,100,7.96
38,Tasiilaq,GL,1584498368,65.61,-37.64,14.0,78,73,8.05
39,Rome,US,1584498453,43.21,-75.46,38.28,69,90,9.17
40,Torbay,CA,1584498366,47.67,-52.73,28.0,79,90,24.16
41,Punta Arenas,CL,1584498121,-53.15,-70.92,53.35,66,75,24.16
42,Nishihara,JP,1584498669,26.18,127.76,70.23,60,75,13.87
43,Albany,US,1584498298,42.6,-73.97,38.17,74,75,6.93
44,Santa Vitória do Palmar,BR,1584498670,-33.52,-53.37,69.13,79,100,9.64
45,Sibolga,ID,1584498670,1.74,98.78,86.94,50,1,0.72
46,Kapaa,US,1584498358,22.08,-159.32,72.54,88,90,8.05
47,Abu Kamal,SY,1584498670,34.45,40.92,55.27,73,100,15.17
48,Vao,NC,1584498670,-22.67,167.48,76.87,75,35,19.64
49,Klaksvík,FO,1584498338,62.23,-6.59,37.4,61,100,25.28
50,Santo Tomas,PH,1584498760,14.11,121.14,85.12,55,20,5.82
51,Kavieng,PG,1584498760,-2.57,150.8,78.17,89,100,7.85
52,Kruisfontein,ZA,1584498364,-34.0,24.73,61.27,86,0,10.38
53,Vila Franca do Campo,PT,1584498761,37.72,-25.43,53.6,81,20,2.24
54,Chicama,PE,1584498761,-7.84,-79.15,71.6,88,40,11.41
55,Upernavik,GL,1584498380,72.79,-56.15,-8.14,53,90,7.7
56,Dingle,PH,1584498761,11.0,122.67,85.15,62,10,12.75
57,Saurimo,AO,1584498761,-9.66,20.39,64.8,97,100,3.29
58,Port Hedland,AU,1584498761,-20.32,118.57,100.4,25,0,6.93
59,Verāval,IN,1584498623,20.9,70.37,78.98,28,0,8.66
60,Prince Rupert,CA,1584498607,54.32,-130.32,46.4,76,1,6.93
61,Hostotipaquillo,MX,1584498761,21.07,-104.07,69.4,73,0,5.01
62,High Level,CA,1584498762,58.52,-117.14,19.4,57,40,4.7
63,Nanortalik,GL,1584498544,60.14,-45.24,20.26,54,39,8.57
64,Chui,UY,1584498356,-33.7,-53.46,69.37,78,100,11.95
65,Samarinda,ID,1584498762,-0.5,117.15,88.21,60,47,6.29
66,Ekhabi,RU,1584498762,53.51,142.97,26.04,90,85,10.11
67,Yulara,AU,1584498762,-25.24,130.99,96.8,18,0,9.17
68,Waiuku,NZ,1584498762,-37.25,174.75,70.5,40,0,8.05
69,Pavlovsk,RU,1584498762,50.46,40.11,32.81,62,2,3.29
70,Jamestown,US,1584498357,42.1,-79.24,33.26,86,1,9.17
71,Huarmey,PE,1584498762,-10.07,-78.15,72.46,70,100,1.66
72,Hilo,US,1584498366,19.73,-155.09,72.48,83,90,9.17
